,Date,Accumulative,New Cases
0,2020-03-03,1,0
1,2020-03-04,1,0
2,2020-03-05,2,1
3,2020-03-06,3,1
4,2020-03-07,5,2
5,2020-03-08,7,2
6,2020-03-09,10,3
7,2020-03-10,14,4
8,2020-03-11,20,6
9,2020-03-12,27,7
10,2020-03-13,36,9
11,2020-03-14,48,12
12,2020-03-15,63,15
13,2020-03-16,82,19
14,2020-03-17,105,23
15,2020-03-18,134,29
16,2020-03-19,168,34
17,2020-03-20,211,43
18,2020-03-21,261,50
19,2020-03-22,321,60
20,2020-03-23,392,71
21,2020-03-24,476,84
22,2020-03-25,573,97
23,2020-03-26,687,114
24,2020-03-27,817,130
25,2020-03-28,967,150
26,2020-03-29,1138,171
27,2020-03-30,1332,194
28,2020-03-31,1552,220
29,2020-04-01,1798,246
30,2020-04-02,2075,277
31,2020-04-03,2383,308
32,2020-04-04,2726,343
33,2020-04-05,3104,378
34,2020-04-06,3522,418
35,2020-04-07,3980,458
36,2020-04-08,4481,501
37,2020-04-09,5028,547
38,2020-04-10,5622,594
39,2020-04-11,6266,644
40,2020-04-12,6962,696
41,2020-04-13,7711,749
42,2020-04-14,8516,805
43,2020-04-15,9377,861
44,2020-04-16,10298,921
45,2020-04-17,11279,981
46,2020-04-18,12322,1043
47,2020-04-19,13427,1105
48,2020-04-20,14597,1170
49,2020-04-21,15832,1235
50,2020-04-22,17132,1300
51,2020-04-23,18499,1367
52,2020-04-24,19933,1434
53,2020-04-25,21435,1502
54,2020-04-26,23003,1568
55,2020-04-27,24640,1637
56,2020-04-28,26343,1703
57,2020-04-29,28114,1771
58,2020-04-30,29952,1838
59,2020-05-01,31855,1903
60,2020-05-02,33824,1969
61,2020-05-03,35858,2034
62,2020-05-04,37955,2097
63,2020-05-05,40114,2159
64,2020-05-06,42334,2220
65,2020-05-07,44615,2281
66,2020-05-08,46953,2338
67,2020-05-09,49348,2395
68,2020-05-10,51798,2450
69,2020-05-11,54302,2504
70,2020-05-12,56856,2554
71,2020-05-13,59461,2605
72,2020-05-14,62113,2652
73,2020-05-15,64810,2697
74,2020-05-16,67551,2741
75,2020-05-17,70333,2782
76,2020-05-18,73154,2821
77,2020-05-19,76012,2858
78,2020-05-20,78904,2892
79,2020-05-21,81829,2925
80,2020-05-22,84784,2955
81,2020-05-23,87768,2984
82,2020-05-24,90776,3008
83,2020-05-25,93808,3032
84,2020-05-26,96862,3054
85,2020-05-27,99934,3072
86,2020-05-28,103023,3089
87,2020-05-29,106126,3103
88,2020-05-30,109242,3116
89,2020-05-31,112368,3126
90,2020-06-01,115502,3134
91,2020-06-02,118643,3141
92,2020-06-03,121787,3144
93,2020-06-04,124934,3147
94,2020-06-05,128081,3147
95,2020-06-06,131226,3145
96,2020-06-07,134368,3142
97,2020-06-08,137505,3137
98,2020-06-09,140634,3129
99,2020-06-10,143756,3122
100,2020-06-11,146867,3111
101,2020-06-12,149967,3100
102,2020-06-13,153053,3086
103,2020-06-14,156125,3072
104,2020-06-15,159181,3056
105,2020-06-16,162220,3039
106,2020-06-17,165240,3020
107,2020-06-18,168241,3001
108,2020-06-19,171221,2980
109,2020-06-20,174179,2958
110,2020-06-21,177114,2935
111,2020-06-22,180025,2911
112,2020-06-23,182912,2887
113,2020-06-24,185773,2861
114,2020-06-25,188608,2835
115,2020-06-26,191415,2807
116,2020-06-27,194195,2780
117,2020-06-28,196946,2751
118,2020-06-29,199669,2723
119,2020-06-30,202361,2692
120,2020-07-01,205024,2663
121,2020-07-02,207655,2631
122,2020-07-03,210256,2601
123,2020-07-04,212826,2570
124,2020-07-05,215363,2537
125,2020-07-06,217869,2506
126,2020-07-07,220342,2473
127,2020-07-08,222783,2441
128,2020-07-09,225191,2408
129,2020-07-10,227566,2375
130,2020-07-11,229909,2343
131,2020-07-12,232218,2309
132,2020-07-13,234494,2276
133,2020-07-14,236737,2243
134,2020-07-15,238947,2210
135,2020-07-16,241124,2177
136,2020-07-17,243268,2144
137,2020-07-18,245378,2110
138,2020-07-19,247456,2078
139,2020-07-20,249501,2045
140,2020-07-21,251513,2012
141,2020-07-22,253493,1980
142,2020-07-23,255441,1948
143,2020-07-24,257356,1915
144,2020-07-25,259240,1884
145,2020-07-26,261091,1851
146,2020-07-27,262912,1821
147,2020-07-28,264701,1789
148,2020-07-29,266459,1758
149,2020-07-30,268186,1727
