,Actual New Cases,Date,Predicted New Cases
0,1.0,2020-03-02,19
1,0.0,2020-03-03,20
2,0.0,2020-03-04,22
3,4.0,2020-03-05,25
4,0.0,2020-03-06,27
5,0.0,2020-03-07,30
6,6.0,2020-03-08,32
7,4.0,2020-03-09,36
8,5.0,2020-03-10,39
9,1.0,2020-03-11,42
10,24.0,2020-03-12,46
11,41.0,2020-03-13,50
12,17.0,2020-03-14,55
13,0.0,2020-03-15,60
14,15.0,2020-03-16,65
15,53.0,2020-03-17,71
16,0.0,2020-03-18,77
17,103.0,2020-03-19,83
18,70.0,2020-03-20,90
19,48.0,2020-03-21,97
20,119.0,2020-03-22,105
21,51.0,2020-03-23,114
22,205.0,2020-03-24,123
23,133.0,2020-03-25,132
24,112.0,2020-03-26,143
25,92.0,2020-03-27,154
26,99.0,2020-03-28,165
27,96.0,2020-03-29,178
28,154.0,2020-03-30,191
29,110.0,2020-03-31,205
30,157.0,2020-04-01,219
31,165.0,2020-04-02,235
32,154.0,2020-04-03,251
33,140.0,2020-04-04,269
34,223.0,2020-04-05,287
35,203.0,2020-04-06,307
36,190.0,2020-04-07,327
37,137.0,2020-04-08,348
38,355.0,2020-04-09,371
39,364.0,2020-04-10,395
40,382.0,2020-04-11,419
41,429.0,2020-04-12,445
42,472.0,2020-04-13,472
43,435.0,2020-04-14,501
44,493.0,2020-04-15,531
45,518.0,2020-04-16,561
46,762.0,2020-04-17,594
47,1132.0,2020-04-18,627
48,1088.0,2020-04-19,662
49,1122.0,2020-04-20,698
50,1147.0,2020-04-21,736
51,1141.0,2020-04-22,775
52,1158.0,2020-04-23,815
53,1172.0,2020-04-24,857
54,1197.0,2020-04-25,900
55,1223.0,2020-04-26,944
56,1289.0,2020-04-27,990
57,1266.0,2020-04-28,1037
58,1325.0,2020-04-29,1086
59,1351.0,2020-04-30,1135
60,1344.0,2020-05-01,1186
61,1362.0,2020-05-02,1239
62,1552.0,2020-05-03,1292
63,1645.0,2020-05-04,1347
64,1595.0,2020-05-05,1402
65,1687.0,2020-05-06,1459
66,1793.0,2020-05-07,1517
67,1701.0,2020-05-08,1576
68,1704.0,2020-05-09,1635
69,1912.0,2020-05-10,1696
70,1966.0,2020-05-11,1757
71,1911.0,2020-05-12,1819
72,1905.0,2020-05-13,1881
73,2039.0,2020-05-14,1944
74,2307.0,2020-05-15,2007
75,2840.0,2020-05-16,2071
76,2736.0,2020-05-17,2135
77,2593.0,2020-05-18,2199
78,2509.0,2020-05-19,2263
79,2691.0,2020-05-20,2327
80,2532.0,2020-05-21,2390
81,2642.0,2020-05-22,2453
82,2442.0,2020-05-23,2516
83,2399.0,2020-05-24,2578
84,2235.0,2020-05-25,2640
85,1931.0,2020-05-26,2701
86,1815.0,2020-05-27,2760
87,1644.0,2020-05-28,2819
88,1581.0,2020-05-29,2877
89,1618.0,2020-05-30,2933
90,1877.0,2020-05-31,2988
91,1881.0,2020-06-01,3041
92,1869.0,2020-06-02,3092
93,2171.0,2020-06-03,3142
94,1975.0,2020-06-04,3190
95,2591.0,2020-06-05,3236
96,3121.0,2020-06-06,3280
97,3045.0,2020-06-07,3321
98,3369.0,2020-06-08,3360
99,3288.0,2020-06-09,3397
